status,gene-symbol,gene-name,ensembl-id,chromosome,genetic-category,gene-score,syndromic,eagle,number-of-reports
9,ADRB2,"adrenergic, beta-2-, receptor, surface",,5,"Genetic Association",2,0,,10
9,APBB1,"amyloid beta precursor protein binding family B member 1",,11,"Rare Single Gene Mutation, Functional",2,0,4.95,5
9,APH1A,"APH1A gamma secretase subunit",,1,"Rare Single Gene Mutation",2,0,,3
9,AR,"androgen receptor",,X,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,,10
9,ARF3,"ADP ribosylation factor 3",,12,"Rare Single Gene Mutation, Syndromic",1,0,1.25,5
9,ARHGAP11B,"Rho GTPase activating protein 11B",,15,"Rare Single Gene Mutation",2,0,,4
9,ARHGAP30,"Rho GTPase activating protein 30",,1,"Rare Single Gene Mutation",3,0,,3
9,ARHGAP32,"Rho GTPase activating protein 32",,11,"Rare Single Gene Mutation, Functional",2,0,,11
9,ARHGAP5,"Rho GTPase activating protein 5",,14,"Rare Single Gene Mutation",2,0,,8
9,ARHGEF10,"Rho guanine nucleotide exchange factor 10",,8,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,,8
9,ARHGEF2,"Rho/Rac guanine nucleotide exchange factor 2",,1,"Rare Single Gene Mutation, Syndromic",3,0,,9
9,ARHGEF9,"Cdc42 guanine nucleotide exchange factor (GEF) 9",,X,"Rare Single Gene Mutation, Syndromic",1,1,14.2,23
9,ARID1A,"AT-rich interaction domain 1A",,1,"Rare Single Gene Mutation, Syndromic, Functional",3,1,,9
9,ARID1B,"AT-rich interaction domain 1B",,6,"Rare Single Gene Mutation, Syndromic, Functional",1,1,34.75,102
9,ARID2,"AT-rich interaction domain 2",,12,"Rare Single Gene Mutation, Syndromic",2,1,,21
9,ARNT2,"aryl-hydrocarbon receptor nuclear translocator 2",,15,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,0,,16
9,ARX,"aristaless related homeobox",,X,"Rare Single Gene Mutation, Syndromic",1,1,13.8,28
9,ASAP2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",,2,"Rare Single Gene Mutation",2,0,,6
